id,domain,type,difficulty,stem,optionA,weightA,optionB,weightB,optionC,weightC,optionD,weightD,explanation_overview,explanation_optionNotes,timeSuggestedSec
CISSP_Q001,Security & Risk Management,MCQ,2,What is the primary objective of a risk assessment in an enterprise context?,Identify and prioritize risks,1.0,Choose specific controls,0.8,Eliminate all threats,0.0,Ensure compliance,0.5,Risk assessments identify likelihood and impact to prioritize treatment.,"{""A"": ""Correct: determines exposure and prioritizes."", ""B"": ""Control selection follows assessment."", ""C"": ""You cannot eliminate all threats."", ""D"": ""Compliance may result, but is not the objective.""}",60
CISSP_Q002,Security & Risk Management,MCQ,2,Which policy best defines senior management's intent and direction for security?,Standard,0.5,Guideline,0.8,Policy,1.0,Procedure,0.0,A policy states management's intent at a high level.,"{""C"": ""Policies are high-level statements of intent."", ""B"": ""Guidelines are recommendations."", ""A"": ""Standards are mandatory specifics."", ""D"": ""Procedures are step-by-step.""}",90
CISSP_Q003,Security & Risk Management,MCQ,3,Which risk response accepts residual risk but sets monitoring thresholds?,Risk acceptance,1.0,Risk avoidance,0.5,Risk transfer,0.8,Risk mitigation,0.5,Acceptance retains risk with informed decision and monitoring.,"{""A"": ""Correct: retain with awareness."", ""C"": ""Transfer shifts some impact (e.g., insurance)."", ""B"": ""Avoidance eliminates the activity."", ""D"": ""Mitigation reduces likelihood/impact.""}",75
CISSP_Q004,Security & Risk Management,MCQ,1,Which control type is a security awareness program?,Preventive,0.5,Deterrent,0.8,Compensating,0.5,Administrative,1.0,Awareness and policy are administrative (managerial) controls.,"{""D"": ""Managerial/administrative control."", ""B"": ""Deters but not primary here."", ""A"": ""Preventive is technical/physical to stop actions."", ""C"": ""Compensating substitutes for a primary control.""}",60
CISSP_Q005,Asset Security,MCQ,2,Which is the best initial step when classifying data assets?,Identify data owners,1.0,Label all media,0.5,Encrypt all files,0.8,Backup critical data,0.5,Classification starts by identifying accountable data owners.,"{""A"": ""Owners are accountable for classification decisions."", ""C"": ""Encryption may result from classification."", ""B"": ""Labeling follows classification."", ""D"": ""Backups support availability, not classification.""}",60
CISSP_Q006,Asset Security,MCQ,2,Which control most directly enforces data at rest confidentiality?,TLS 1.3,0.5,AES-256 full-disk encryption,1.0,RAID 6,0.0,Digital signatures,0.8,Full-disk or field-level encryption protects confidentiality at rest.,"{""B"": ""Strong at-rest confidentiality."", ""A"": ""TLS protects in transit."", ""C"": ""RAID is for availability."", ""D"": ""Signatures support integrity/authenticity.""}",90
CISSP_Q007,Asset Security,MCQ,3,Who should own data classification decisions in an enterprise?,CISO,0.5,System owners,0.8,Data owners,1.0,Custodians,0.5,Data owners make classification decisions; custodians implement controls.,"{""C"": ""Correct authority for classification."", ""D"": ""Custodians operate controls."", ""B"": ""System owners run platforms."", ""A"": ""CISO governs program; not per-dataset owner.""}",75
CISSP_Q008,Asset Security,MCQ,1,What is the primary purpose of data retention schedules?,Meet compliance requirements,1.0,Reduce storage costs only,0.5,Increase processing speed,0.0,Improve encryption strength,0.5,"Retention schedules balance compliance, legal, and business needs.","{""A"": ""Primary driver: legal/regulatory/discovery."", ""B"": ""Cost is secondary outcome."", ""C"": ""Not related."", ""D"": ""Encryption is separate.""}",60
CISSP_Q009,Security Architecture & Engineering,MCQ,2,Which property does a Trusted Computing Base (TCB) primarily provide?,System security enforcement,1.0,Network performance,0.5,High availability,0.8,Usability,0.0,The TCB enforces the security policy for the system.,"{""A"": ""TCB enforces security policy."", ""C"": ""Availability is separate."", ""B"": ""Performance is unrelated."", ""D"": ""Usability is not TCB's role.""}",60
CISSP_Q010,Security Architecture & Engineering,MCQ,2,What is the most secure default when designing system privileges?,Least privilege,1.0,Separation of duties,0.8,Need to know,0.5,Privilege accumulation,0.0,Default to least privilege; grant only required rights.,"{""A"": ""Grant minimal rights."", ""B"": ""SOD complements least privilege."", ""C"": ""Need-to-know is data access principle."", ""D"": ""Accumulation is a risk.""}",90
CISSP_Q011,Security Architecture & Engineering,MCQ,3,Which model focuses on preventing information flow from high to low for confidentiality?,Clark–Wilson,0.5,Bell–LaPadula,1.0,Biba,0.8,Brewer–Nash (Chinese Wall),0.5,"Bell–LaPadula enforces 'no read up, no write down' for confidentiality.","{""B"": ""'No read up, no write down'."", ""C"": ""Biba focuses on integrity."", ""A"": ""Clark–Wilson enforces integrity via transactions."", ""D"": ""Brewer–Nash manages conflicts of interest.""}",75
CISSP_Q012,Security Architecture & Engineering,MCQ,1,What is the main goal of cryptographic key management?,Key generation only,0.5,Protect key lifecycle and usage,1.0,Encrypt all data,0.8,Increase algorithm speed,0.0,"Key management covers generation, storage, rotation, usage, and destruction.","{""B"": ""Entire lifecycle and control of keys."", ""C"": ""Encryption is an outcome, not the goal."", ""A"": ""Generation is one step."", ""D"": ""Speed is not a security goal.""}",60
CISSP_Q013,Communication & Network Security,MCQ,2,Which device primarily enforces segmentation at Layer 3?,Router,1.0,Switch,0.8,Hub,0.0,Repeater,0.5,Routers operate at Layer 3 to segment networks.,"{""A"": ""Correct for L3 segmentation."", ""B"": ""Switch is L2 segmentation."", ""C"": ""Hubs repeat to all ports."", ""D"": ""Repeaters amplify signals.""}",60
CISSP_Q014,Communication & Network Security,MCQ,2,"Which protocol provides confidentiality, integrity, and perfect forward secrecy for web traffic?",TLS 1.3,1.0,IPsec AH,0.5,SSL 3.0,0.0,WEP,0.0,TLS 1.3 removes weak ciphers and supports PFS with ephemeral keys.,"{""A"": ""Modern, supports PFS."", ""B"": ""AH provides integrity only; ESP adds confidentiality."", ""C"": ""Deprecated and insecure."", ""D"": ""WEP is broken.""}",90
